date,pm2_5,pm10,o3,no2,so2,co,temp,pressure,humidity,wind_speed,clouds
2022-07-08,5.50875,6.974583333333330,38.765,11.2975,7.232500000000000,205.7658333333330,288.17,1018,91,2.57,0
2022-07-09,1.8525000000000000,2.645416666666670,53.048333333333300,5.245,3.22875,167.5891666666670,288.7,1014,78,2.06,0
2022-07-10,1.9570833333333300,2.51875,46.4775,4.3620833333333300,2.9879166666666700,167.45041666666700,285.26,1012,91,3.6,20
2022-07-11,2.134583333333330,2.7233333333333300,40.53166666666670,6.225833333333330,4.143750000000000,176.62875,285.89,1013,87,4.12,0
2022-07-12,2.097916666666670,2.5254166666666700,46.2825,4.390833333333330,2.725,166.26791666666700,291.9,1010,58,8.23,100
2022-07-13,4.7625,5.814166666666670,78.05250000000000,3.9100000000000000,2.702083333333330,159.1733333333330,293.93,1011,70,2.06,0
2022-07-14,5.948333333333330,7.7437500000000000,63.59375000000000,9.360416666666670,6.100833333333330,193.11000000000000,292.63,1009,52,3.6,0
2022-07-15,2.7158333333333300,3.855000000000000,51.845833333333300,7.262083333333330,4.658333333333330,185.18250000000000,287.9,1014,64,2.06,0
2022-07-16,2.68875,3.6679166666666700,53.34625000000000,6.452500000000000,3.6837500000000000,179.89625000000000,284.24,1014,90,5.14,75
2022-07-17,2.8608333333333300,3.6175000000000000,49.27791666666670,6.36,4.38375,182.19250000000000,289.51,1020,67,2.57,0
2022-07-18,3.8475,5.565416666666670,43.29541666666670,10.59875,6.013750000000000,204.30500000000000,292.68,1018,67,1.54,0
2022-07-19,8.21375,10.805833333333300,61.32416666666670,13.332500000000000,9.138333333333330,225.6525,294.64,1017,68,0.51,0
2022-07-20,14.953333333333300,19.046666666666700,15.946666666666700,23.36,9.973333333333330,292.62000000000000,296.34,1018,53,4.12,0
2022-07-21,11.832619047619000,15.049761904761900,49.33,17.6080952380953,9.319523809523810,274.022380952381,296.28,1013,67,2.06,0
2022-07-22,8.711904761904760,11.052857142857100,82.71333333333330,11.856190476190500,8.665714285714290,255.4247619047620,297.34,1012,64,1.03,0
2022-07-23,8.995000000000000,10.737916666666700,68.7525,15.100416666666700,11.978750000000000,293.0366666666670,292.67,1012,92,4.12,0
2022-07-24,3.2737500000000000,3.904583333333330,65.68458333333330,4.84625,3.225833333333330,203.61000000000000,291.21,1015,82,2.06,0
2022-07-25,7.724166666666670,9.848333333333330,49.95583333333330,18.227083333333300,14.907500000000000,281.3529166666670,295.13,1008,61,4.12,0
